,Index Name,INDEX_NAME,HistoricalDate,OPEN,HIGH,LOW,CLOSE
0,Nifty 100,NIFTY 100,2023-03-31,17043.0,17206.85,17036.1,17186.15
1,Nifty 100,NIFTY 100,2023-03-29,16808.85,16962.7,16791.3,16918.05
2,Nifty 100,NIFTY 100,2023-03-28,16884.75,16905.3,16758.1,16795.35
3,Nifty 100,NIFTY 100,2023-03-27,16870.3,16953.55,16802.55,16849.3
4,Nifty 100,NIFTY 100,2023-03-24,16966.7,16998.4,16806.1,16831.8
5,Nifty 100,NIFTY 100,2023-03-23,16977.45,17075.7,16929.5,16958.15
6,Nifty 100,NIFTY 100,2023-03-22,17041.9,17075.1,16987.5,17026.2
7,Nifty 100,NIFTY 100,2023-03-21,16926.25,16990.45,16876.7,16970.5
8,Nifty 100,NIFTY 100,2023-03-20,16920.9,16922.75,16700.25,16852.9
9,Nifty 100,NIFTY 100,2023-03-17,16981.1,17014.3,16843.0,16964.8
10,Nifty 100,NIFTY 100,2023-03-16,16844.75,16923.85,16696.25,16852.25
11,Nifty 100,NIFTY 100,2023-03-15,17002.75,17044.1,16795.5,16825.05
12,Nifty 100,NIFTY 100,2023-03-14,17003.35,17060.05,16826.1,16887.05
13,Nifty 100,NIFTY 100,2023-03-13,17257.25,17358.55,16960.0,16997.3
14,Nifty 100,NIFTY 100,2023-03-10,17261.4,17269.1,17147.0,17244.3
15,Nifty 100,NIFTY 100,2023-03-09,17578.25,17582.3,17382.0,17398.3
16,Nifty 100,NIFTY 100,2023-03-08,17463.9,17564.4,17399.05,17552.95
17,Nifty 100,NIFTY 100,2023-03-06,17475.25,17586.05,17467.8,17506.3
18,Nifty 100,NIFTY 100,2023-03-03,17258.2,17433.9,17241.4,17385.95
19,Nifty 100,NIFTY 100,2023-03-02,17217.05,17236.1,17112.65,17129.65
20,Nifty 100,NIFTY 100,2023-03-01,17134.9,17253.45,17124.1,17238.45
21,Nifty 100,NIFTY 100,2023-02-28,17145.3,17195.35,17039.6,17083.8
22,Nifty 100,NIFTY 100,2023-02-27,17200.25,17212.9,17060.1,17156.15
23,Nifty 100,NIFTY 100,2023-02-24,17357.2,17369.0,17198.3,17242.15
24,Nifty 100,NIFTY 100,2023-02-23,17349.8,17386.3,17224.2,17286.3
25,Nifty 100,NIFTY 100,2023-02-22,17529.65,17539.95,17307.1,17335.0
26,Nifty 100,NIFTY 100,2023-02-21,17682.85,17699.25,17579.1,17604.4
27,Nifty 100,NIFTY 100,2023-02-20,17737.1,17768.75,17600.85,17626.9
28,Nifty 100,NIFTY 100,2023-02-17,17753.25,17808.55,17666.3,17721.05
29,Nifty 100,NIFTY 100,2023-02-16,17856.95,17907.0,17783.3,17814.9
30,Nifty 100,NIFTY 100,2023-02-15,17664.05,17804.9,17629.3,17786.9
31,Nifty 100,NIFTY 100,2023-02-14,17626.3,17721.9,17581.6,17702.35
32,Nifty 100,NIFTY 100,2023-02-13,17679.4,17697.1,17532.0,17575.15
33,Nifty 100,NIFTY 100,2023-02-10,17675.4,17704.45,17634.95,17685.45
34,Nifty 100,NIFTY 100,2023-02-09,17724.25,17751.65,17625.25,17723.85
35,Nifty 100,NIFTY 100,2023-02-08,17598.55,17743.9,17596.85,17719.85
36,Nifty 100,NIFTY 100,2023-02-07,17626.45,17654.9,17504.25,17569.7
37,Nifty 100,NIFTY 100,2023-02-06,17648.7,17652.2,17541.8,17611.45
38,Nifty 100,NIFTY 100,2023-02-03,17574.5,17701.8,17422.2,17687.35
39,Nifty 100,NIFTY 100,2023-02-02,17401.25,17534.35,17321.0,17490.3
40,Nifty 100,NIFTY 100,2023-02-01,17744.85,17866.95,17247.6,17516.15
41,Nifty 100,NIFTY 100,2023-01-31,17636.75,17644.15,17467.5,17601.0
42,Nifty 100,NIFTY 100,2023-01-30,17498.65,17676.6,17331.9,17571.85
43,Nifty 100,NIFTY 100,2023-01-27,17946.0,17953.3,17483.9,17594.5
44,Nifty 100,NIFTY 100,2023-01-25,18213.55,18219.9,17950.4,17974.35
45,Nifty 100,NIFTY 100,2023-01-24,18313.6,18323.75,18210.5,18245.35
46,Nifty 100,NIFTY 100,2023-01-23,18254.7,18292.5,18203.85,18249.35
47,Nifty 100,NIFTY 100,2023-01-20,18252.8,18278.15,18156.0,18169.45
48,Nifty 100,NIFTY 100,2023-01-19,18260.1,18291.65,18202.8,18244.75
49,Nifty 100,NIFTY 100,2023-01-18,18237.6,18324.3,18189.55,18307.4
50,Nifty 100,NIFTY 100,2023-01-17,18102.15,18235.35,18065.45,18216.4
51,Nifty 100,NIFTY 100,2023-01-16,18191.85,18212.0,18029.0,18074.2
52,Nifty 100,NIFTY 100,2023-01-13,18041.2,18157.15,17949.15,18126.25
53,Nifty 100,NIFTY 100,2023-01-12,18080.55,18105.15,17932.75,18028.3
54,Nifty 100,NIFTY 100,2023-01-11,18094.65,18135.3,17988.2,18054.3
55,Nifty 100,NIFTY 100,2023-01-10,18270.0,18274.4,18008.3,18081.0
56,Nifty 100,NIFTY 100,2023-01-09,18111.3,18276.25,18098.0,18248.55
57,Nifty 100,NIFTY 100,2023-01-06,18165.95,18200.3,17951.8,18013.95
58,Nifty 100,NIFTY 100,2023-01-05,18236.55,18256.3,18032.45,18150.0
59,Nifty 100,NIFTY 100,2023-01-04,18375.65,18385.9,18153.05,18173.45
60,Nifty 100,NIFTY 100,2023-01-03,18310.65,18398.95,18298.55,18376.5
61,Nifty 100,NIFTY 100,2023-01-02,18290.2,18350.9,18237.45,18334.3
62,Nifty 100,NIFTY 100,2022-12-30,18422.4,18434.2,18232.3,18258.75
63,Nifty 100,NIFTY 100,2022-12-29,18192.2,18387.6,18124.8,18343.6
64,Nifty 100,NIFTY 100,2022-12-28,18220.35,18317.4,18200.2,18270.95
65,Nifty 100,NIFTY 100,2022-12-27,18214.95,18280.5,18097.75,18263.55
66,Nifty 100,NIFTY 100,2022-12-26,17910.65,18204.2,17834.1,18134.6
67,Nifty 100,NIFTY 100,2022-12-23,18128.5,18193.0,17855.15,17888.05
68,Nifty 100,NIFTY 100,2022-12-22,18447.0,18484.95,18212.5,18277.85
